id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"abubaker, nabil"	0.1913	-0.3299	7	4	6	3	4	2.4333	2020.6667	1.3333	0.8111
2	"acer, seher"	0.2135	-0.1478	7	6	21	11	38	9.1592	2018.1818	3.4545	0.8327
3	"akbudak, kadir"	0.0982	-0.4434	7	5	12	7	75	8.9106	2016.1429	10.7143	1.2729
4	"ashyralyyev, shatlyk"	-0.4644	0.4214	2	2	2	1	3	0.3478	2013	3	0.3478
5	"atalay, volkan"	1.1561	-0.3548	5	4	4	1	6	0.7368	2012	6	0.7368
6	"aykanat, cevdet"	0.0325	-0.0326	4	52	162	76	819	76	2013.4474	10.7763	1
7	"baeza-yates, ricardo"	-0.5062	0.0463	1	6	7	2	33	2.6773	2013.5	16.5	1.3386
8	"barla cambazoglu, b."	-0.3686	-0.12	1	8	13	4	72	5.2646	2011.25	18	1.3162
9	"blanco, roi"	-0.2016	-0.1304	1	4	4	1	24	1.5738	2011	24	1.5738
10	"cambazoglu, berkant barla"	-0.5906	0.3029	2	16	37	15	274	15.372	2009.5333	18.2667	1.0248
11	"can, fazli"	-0.8331	0.1677	8	3	6	2	77	3.2947	2007	38.5	1.6474
12	"catal, aytul"	-0.6166	0.5495	2	2	2	1	10	0.4286	2006	10	0.4286
13	"catalyurek, umit v."	0.1341	0.2236	11	4	9	4	86	5.7587	2010.75	21.5	1.4397
14	"cetin-atalay, rengul"	1.1804	-0.4411	5	4	4	1	6	0.7368	2012	6	0.7368
15	"cevahir, ali"	-0.5778	-0.1982	1	4	6	2	16	1.0481	2009	8	0.5241
16	"demir, engin"	-0.384	0.6028	2	2	5	3	27	1.3092	2009.3333	9	0.4364
17	"demirci, gunduz v."	-0.5802	-0.6913	3	6	11	5	17	6.2889	2018.2	3.4	1.2578
18	"ersahin, tulin"	1.2658	-0.4158	5	4	4	1	6	0.7368	2012	6	0.7368
19	"ferhatosmanoglu, hakan"	-0.4042	-0.6923	3	4	5	2	17	1.0983	2016.5	8.5	0.5491
20	"findik, ferit"	-0.8453	0.511	2	3	3	1	17	1.0968	2007	17	1.0968
21	"gunduz-demir, cigdem"	0.2786	1.1682	6	4	4	1	28	3.4386	2012	28	3.4386
22	"honkonen, ilja"	-0.7267	-0.7357	3	4	4	1	0	0	2013	0	0
23	"isik, zerrin"	1.2415	-0.3297	5	4	4	1	6	0.7368	2012	6	0.7368
24	"jafari, nazanin"	0.0543	-0.7183	10	2	2	1	0	0	2021	0	0
25	"jonassen, simon"	-0.3111	0.2539	14	3	3	1	14	1.6232	2013	14	1.6232
26	"junqueira, flavio p."	-0.2368	-0.2184	1	4	4	1	24	1.5738	2011	24	1.5738
27	"karaca, evren"	-0.8383	-0.119	8	4	4	1	14	0.9032	2007	14	0.9032
28	"karasabun, efe"	0.5001	-0.8423	12	2	2	1	20	2.3188	2013	20	2.3188
29	"karsavuran, m. ozan"	0.3087	-0.3662	7	4	8	4	19	6.2	2019.75	4.75	1.55
30	"kaya, kamer"	0.485	-0.0078	4	2	5	3	48	2.5336	2007	16	0.8445
31	"kayaaslan, enver"	-0.1534	0.0584	1	13	28	11	111	10.9967	2013.4545	10.0909	0.9997
32	"korpeoglu, ibrahim"	0.5433	-0.7951	12	2	2	1	20	2.3188	2013	20	2.3188
33	"kucukyilmaz, tayfun"	-0.7558	0.0242	8	6	17	6	107	6.0437	2010.3333	17.8333	1.0073
34	"kurc, tahsin"	-0.8722	0.4325	2	3	3	1	17	1.0968	2007	17	1.0968
35	"malas, tahir"	0.728	0.1832	4	3	3	1	6	0.3871	2007	6	0.3871
36	"mangulu, murat"	0.4029	0.546	9	3	7	3	7	2.1101	2019	2.3333	0.7034
37	"oktay, kerim yasin"	-0.4682	-0.454	3	2	4	2	8	1.4638	2011	4	0.7319
38	"ozdal, muhammet mustafa"	-0.1271	-0.8034	10	2	2	1	9	1.3846	2015	9	1.3846
39	"ozkural, eray"	0.5539	0.3117	4	2	3	2	16	1.0492	2010.5	8	0.5246
40	"pinar, ali"	-0.0162	0.3309	11	4	5	2	20	1.5753	2010	10	0.7877
41	"pinar, mustafa c."	0.7091	0.1026	4	3	3	1	6	0.3871	2007	6	0.3871
42	"selvitopi, r. oguz"	-0.1061	-0.6186	10	8	26	13	85	12.6112	2016.7692	6.5385	0.9701
43	"simsek, ahmet cagri"	0.4034	1.1926	6	4	4	1	28	3.4386	2012	28	3.4386
44	"sokmensuer, cenk"	0.3288	1.2422	6	4	4	1	28	3.4386	2012	28	3.4386
45	"tabak, e. kartal"	-0.115	0.4102	11	3	4	2	51	2.5214	2011	25.5	1.2607
46	"torun, f. sukru"	0.3055	0.5634	9	3	7	3	7	2.1101	2019	2.3333	0.7034
47	"torun, tugba"	0.3239	0.4143	9	4	5	2	5	1.9615	2020	2.5	0.9808
48	"tosun, akif burak"	0.3534	1.119	6	4	4	1	28	3.4386	2012	28	3.4386
49	"turk, ata"	-0.6274	-0.409	3	12	32	12	81	9.566	2011.75	6.75	0.7972
50	"ucar, bora"	0.4846	0.1526	4	8	21	11	217	13.7124	2009.8182	19.7273	1.2466
51	"varol, emre"	-0.3838	0.0335	1	4	4	1	20	1.2	2010	20	1.2
52	"von alfthan, sebastian"	-0.7393	-0.6394	3	4	4	1	0	0	2013	0	0
53	"yazici, volkan"	0.573	-0.3101	13	1	1	1	2	0.1026	2014	2	0.1026
