,EVELYN,LAURA,THERESA,BRENDA,CHARLOTTE,FRANCES,ELEANOR,PEARL,RUTH,VERNE,MYRNA,KATHERINE,SYLVIA,NORA,HELEN,DOROTHY,OLIVIA,FLORA
EVELYN,8.0,6.0,7.0,6.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
LAURA,6.0,7.0,6.0,6.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0
THERESA,7.0,6.0,8.0,6.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
BRENDA,6.0,6.0,6.0,7.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0
CHARLOTTE,3.0,3.0,4.0,4.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
FRANCES,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ELEANOR,3.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0
PEARL,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
RUTH,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0
VERNE,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0
MYRNA,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0
KATHERINE,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,6.0,5.0,3.0,2.0,1.0,1.0
SYLVIA,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,7.0,6.0,4.0,2.0,1.0,1.0
NORA,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,6.0,8.0,4.0,1.0,2.0,2.0
HELEN,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,1.0,1.0,1.0
DOROTHY,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
OLIVIA,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
FLORA,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
