Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
1,1,,16,3,0.568966,0.70202,231.071429,0.097001
2,2,,9,3,0.485294,0.580808,28.478571,0.052872
3,3,,10,3,0.559322,0.636364,75.850794,0.057075
4,4,,6,3,0.464789,0.535354,6.288095,0.035862
5,5,,3,4,0.37931,0.444444,0.333333,0.021986
6,6,,4,4,0.383721,0.459596,15.833333,0.029123
7,7,,4,4,0.383721,0.459596,15.833333,0.029123
8,8,,4,4,0.44,0.497475,0,0.024495
9,9,,5,3,0.515625,0.560606,29.529365,0.029768
10,10,,2,4,0.434211,0.472222,0.447619,0.01431
11,11,,3,4,0.37931,0.444444,0.333333,0.021986
12,12,,1,4,0.366667,0.409091,0,0.009567
13,13,,2,4,0.370787,0.424242,0,0.014648
14,14,,5,3,0.515625,0.560606,24.215873,0.029542
15,15,,2,5,0.370787,0.430303,0,0.014538
16,16,,2,5,0.370787,0.430303,0,0.014538
17,17,,2,5,0.284483,0.336364,0,0.01679
18,18,,2,4,0.375,0.429293,0,0.014562
19,19,,2,5,0.370787,0.430303,0,0.014538
20,20,,3,3,0.5,0.530303,17.146825,0.019609
21,21,,2,5,0.370787,0.430303,0,0.014538
22,22,,2,4,0.375,0.429293,0,0.014562
23,23,,2,5,0.370787,0.430303,0,0.014538
24,24,,5,5,0.392857,0.485859,9.3,0.031521
25,25,,3,4,0.375,0.421717,1.166667,0.021072
26,26,,3,4,0.375,0.421717,2.027778,0.021001
27,27,,2,5,0.362637,0.422727,0,0.015043
28,28,,4,4,0.458333,0.512626,11.792063,0.025638
29,29,,3,4,0.452055,0.497475,0.947619,0.019572
30,30,,4,5,0.383721,0.465657,1.542857,0.026286
31,31,,4,4,0.458333,0.512626,7.609524,0.024592
32,32,,6,3,0.540984,0.585859,73.009524,0.037161
33,33,,12,4,0.515625,0.633838,76.690476,0.071663
34,34,,17,4,0.55,0.704545,160.551587,0.100879
